ID,Status,Tags,Triggers,Response,Internal Remarks
280,Production,cleo:alty,"Welcome Menu
Main Menu
Greeting
[hello, hihi, hi] [how are you, how are u, is anyone there, can you help me, can u help me, ]
[good, gd] [morning, morn, aft, afternoon, evening, night]","---
message:
  type: whatsapp_template
  whatsapp_template:
    header_parameters:
      - image:
          url: https://i.imgur.com/AQrqIeE.png
        type: image
    language_code: en
    template_name: welcome_menu
type: message",
815,Production,cleo:alty,"Schedule Appointment
Schedule Radiology Exam
Book Appointment
Appointment Booking
Appointment Scheduling
i [need, want] to [make, schedule, book] [a, an, ] [radiology, radio, MRI, CT, US, ultrasound, xray, EOS, ] [appointment, appt, slot, time slot, timing]
can [you, u] help me [to, ] [schedule, book] [a, an] [appointment, appt]","---
message:
  type: whatsapp_template
  whatsapp_template:
    language_code: en
    template_name: scheduling
type: message",
814,Production,cleo:alty,"What do I need to [bring, prepare, do] for my [MRI, CT, XRAY, MAMMO, US, EOS] appointment?
What should I [bring, prepare, do] for my [MRI, CT, XRAY, MAMMO, US, EOS] appointment?
Do I need to fast [before, prior to] my [MRI, CT, XRAY, MAMMO, US, EOS] appointment?","--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""You will need to bring along your referral letter for the appointment. Once you reach Menara ALTY, go to level 5 to get registered and you will be usher to the Imaging department once registration is done.


What you need to prepare for the appointment:

1. Patient need to be fasting at least 4-6 hours before the MRI/CT scan. No fasting needed for XRay/US. 

2. Blood test result is required to determine the patient’s kidney function. If the patient has done any blood test 6 months prior, it is usable. If not, the patient will need to do a blood test first either from outside lab or in ALTY.

3. Patient should inform if he/she has any past history with contrast allergy or has any allergy with any type of food or medicine. Pre-medication will be given prior to contrast injection in order to prevent severe allergic reaction.

4. If contrast is ordered, it will be given via injection through the IV line. It is very safe and non-drowsy.""
          type: text
      type: paragraphs
  type: sections
type: message",
269,Production,cleo:alty,"What are [ALTY's, your] [opening, operating] [hours, timings]
[Operating, Opening] [hours, time, timings]
[When,] are you open [now,]","--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""ALTY operation hours are as follow: 

Monday – Friday : 8.30am – 5.30pm 

Saturday : 8.30am – 1.00pm 


If you have to come after operational hours, you may do so but extra hours surcharge will be incurred.""
          type: text
      type: paragraphs
  type: sections
type: message
",
271,Production,cleo:alty,"What [are, is] the [cost, costs, surcharges, surcharge] if I come after [operation, operating] [hours, timings]
[cost, costs, surcharges, surcharge] after[operating, operation][hours, timings]
What if I come [to Alty] after your [operation, operating] [hours, timings]
[Are, Is] there [any extra, additional][costs, cost, charge, charges] if I come after [operation, operating] [hours, timings]","--- 
message: 
  sections: 
    - paragraphs: 
        - text: There will be extra surcharges imposed if a patient comes after operational hours. These surcharges will vary depending on what type of procedure/scans you are having. For further assistance you can contact us via whats-app or call us at 0126377521.
          type: text
      type: paragraphs
  type: sections
type: message",
272,Production,cleo:alty,"[What is the,] [cost, charge, fee] [of, for] the [consultation, scan]?
What are the [costs, charges, fees] [are, for, of] the [consultations, scans]?
What are the [costs, charges, fees] [like]?
[Are, is] there any [discounts, or, promotion]?","--- 
message: 
  sections: 
    - paragraphs: 
        - text: For exact information and price please whatsapp or call us at 0126377521.
          type: text
      type: paragraphs
  type: sections
type: message",
273,Production,cleo:alty,"Do you [provide, do] [any] sedation for MRI?  
I am claustrophobic, can I do the MRI while sleeping?
I am claustrophobic, [can, do] you [do, have, an,] open MRI? 
What is the [patient’s] weight limit for your MRI?  
[Can, Do] you do MRI for [infants, kids]?
What [type, kind] of MRI [system, machine, device] [do, does] [ALTY, you] have?","'--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""We have two types of MRI machines in ALTY. They are:

1. 1.5T Siemens Aera (closed MRI). Patient’s weight limit is 225kg with 70cm bore (opening).

2. 0.25T ESAOTE Weight-bearing MRI (open MRI). Patient’s weight limit is 150kg. 


We do not provide any sedation services for either adults or infants/kids for MRI procedures.""
          type: text
      type: paragraphs
  type: sections
type: message
",
274,Production,cleo:alty,"Why do I need contrast for my [MRI, procedure, scan]
Why is contrast needed for my [MRI, procedure, scan]
Is [it, contrast] safe [for] [me, my body]
[I think, I am] allergic to contrast, what should I do
I have [medical, food] allergies, who should I inform
What do I need to prepare for [my] [contrast] [procedure, scan]
Can I drive after contrast is given [for my] [procedure, scan]
Is it safe for me to drive after [having, given] contrast for my [procedure, scan]?","--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""Contrast is only given if it is indicated in the referral letter or requested by the reporting radiologist. It is a colourless dye that enhances the area/part that the doctor/radiologist wants to see, allowing them to better visualize the pathology/problem.


What you will need to prepare:

1. You will need to fast at least 4-6 hours before contrast scan.

2. Blood test result is required to determine your kidney function. If you have done any blood test in the 6 months prior, we can use those results. If not, you will need to do a blood test first, either in ALTY or at another clinic. 

3. You should let us know if you have any past history with contrast allergy or any allergy to any type of food or medicine. Pre-medication will be given prior to contrast injection in order to prevent a severe allergic reaction. The contrast will be given via injection through the IV line. It is very safe and non-drowsy.""
          type: text
      type: paragraphs
  type: sections
type: message
",
275,Production,cleo:alty,"How long is [the, my] [procedure, scan, MRI, CT, XRAY, MAMMO, US, EOS] going to be
How long do I need to wait for [my, the] report
How long do I need to be [at, in] the hospital","--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""X-ray/mammogram/EOS will take roughly 15-30 minutes.

Ultrasound/CT scan will take approximately 30 minutes.

MRI will need around 30 minutes to 2 hours depending on how many parts of MRI are being done. The report will be ready within an hour after the scan is done.


Please come to ALTY at least half an hour early for the appointment for registration purposes. This is to reduce the delay time while registering.""
          type: text
      type: paragraphs
  type: sections
type: message",
276,Production,cleo:alty,"[What if I am, Can I be, Going to, Will be,] late [to, for] my appointment?
How long will my appointment be held?
How late can I be for my appointment?","--- 
message: 
  sections: 
    - paragraphs: 
        - text: ""You are required to arrive at ALTY at least half an hour early for the appointment for registration purposes. This is to reduce the delay time while registering.



If you are 10 minutes late from the appointment time, the Radiology department may reschedule the appointment to the next available time on the same day or to another available date.""
          type: text
      type: paragraphs
  type: sections
type: message",
